Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Score,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Purchase_Categories_List
2023-06-08 19:50:55+05:30,65,Prefer Not To Say,Less Than Once A Month,Clothing and Fashion,Yes,Multiple Times A Day,Keyword,Multiple Pages,2,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,No,2,Sometimes,4,4,Competitive Prices,better app interface and lower shipping charges,778242,['Clothing and Fashion']
2023-06-09 09:37:44+05:30,20,Male,Once A Week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,First Page,3,No,Never,High shipping costs,Always,Yes,Heavily,Yes,1,Sometimes,4,5,Quick Delivery,Scrolling option would be much better than going to next page,193482,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Home and Kitchen']"
2023-06-11 23:26:54+05:30,42,Male,Once A Week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few Times A Week,Keyword,Multiple Pages,2,No,Rarely,Found a better price elsewhere,Often,Yes,Heavily,Sometimes,5,No,5,3,All The Above,Nil,925975,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-08 17:17:10+05:30,65,Others,Once A Month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few Times A Month,Filter,Multiple Pages,2,Yes,Sometimes,others,Often,Yes,Occasionally,No,3,Yes,1,2,Quick Delivery,Quality of product is very poor according to the big offers,566872,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-11 22:59:30+05:30,45,Female,Once A Week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few Times A Month,Not Specified,First Page,5,Maybe,Rarely,Changed my mind or no longer need the item,Never,Yes,Rarely,No,2,Yes,1,2,Quick Delivery,Irrelevant product suggestions,683642,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-07 21:18:55+05:30,67,Others,Few Times A Month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Multiple Times A Day,Not Specified,Multiple Pages,3,No,Always,others,Never,No,Moderately,Sometimes,4,No,4,3,Product Recommendations,Nothing,461923,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'others']"
2023-06-08 19:46:31+05:30,55,Female,Few Times A Month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few Times A Week,Keyword,First Page,5,Maybe,Never,Found a better price elsewhere,Rarely,Yes,Moderately,No,1,Yes,5,3,Customer Service,Customer service responsiveness,521643,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-06 19:02:21+05:30,44,Prefer Not To Say,Few Times A Month,Beauty and Personal Care;Clothing and Fashion,Yes,Few Times A Month,Not Specified,Multiple Pages,4,Yes,Often,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,2,Sometimes,5,1,Customer Service,I have no problem with Amazon yet. But others tell me about the refund issues,155589,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-07 23:07:55+05:30,33,Male,Less Than Once A Month,Beauty and Personal Care;others,Yes,Rarely,Not Specified,Multiple Pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Sometimes,1,Sometimes,2,2,Competitive Prices,Quality of product is very poor according to the big offers,860726,"['Beauty and Personal Care', 'others']"
2023-06-05 16:50:44+05:30,22,Others,Few Times A Month,Clothing and Fashion;Home and Kitchen,No,Multiple Times A Day,Filter,First Page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,2,Yes,1,3,All The Above,I don't have any problem with Amazon,745946,"['Clothing and Fashion', 'Home and Kitchen']"
2023-06-06 18:38:03+05:30,28,Female,Once A Month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few Times A Month,Others,First Page,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,1,Yes,4,5,All The Above,UI,882918,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-08 17:38:01+05:30,44,Prefer Not To Say,Multiple Times A Week,Groceries and Gourmet Food,Sometimes,Multiple Times A Day,Keyword,First Page,5,Yes,Always,others,Often,Yes,Occasionally,Yes,5,Yes,4,3,User-Friendly Website/App Interface,Shipping speed and reliability,911442,['Groceries and Gourmet Food']
2023-06-05 20:07:52+05:30,24,Male,Once A Month,Beauty and Personal Care;Home and Kitchen;others,No,Few Times A Week,Filter,First Page,4,No,Always,others,Rarely,Yes,Moderately,Yes,4,Yes,5,3,Competitive Prices,Add more familiar brands to the list,403975,"['Beauty and Personal Care', 'Home and Kitchen', 'others']"
2023-06-07 17:58:12+05:30,23,Male,Once A Month,Beauty and Personal Care;Home and Kitchen,Yes,Few Times A Month,Filter,First Page,5,Maybe,Always,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,1,Sometimes,5,1,Wide Product Selection,I have no problem with Amazon yet. But others tell me about the refund issues,681181,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-08 17:43:45+05:30,58,Prefer Not To Say,Once A Week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few Times A Week,Keyword,First Page,5,Maybe,Never,High shipping costs,Often,Yes,Never,Yes,3,No,3,1,Quick Delivery,Shipping speed and reliability,921065,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-05 13:37:01+05:30,40,Male,Less Than Once A Month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Multiple Times A Day,Keyword,First Page,3,No,Never,Found a better price elsewhere,Never,No,Never,No,4,No,2,2,Customer Service,Quality of product is very poor according to the big offers,335642,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'others']"
2023-06-07 12:44:27+05:30,46,Prefer Not To Say,Once A Week,Groceries and Gourmet Food,Yes,Rarely,Categories,First Page,2,Yes,Always,High shipping costs,Sometimes,No,Rarely,Sometimes,2,Sometimes,5,2,Wide Product Selection,User interface,348266,['Groceries and Gourmet Food']
2023-06-08 17:48:55+05:30,15,Others,Once A Month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few Times A Month,Keyword,Multiple Pages,2,Maybe,Often,others,Often,Yes,Never,No,2,Yes,2,2,Quick Delivery,Reducing packaging waste,661105,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-09 15:17:31+05:30,41,Female,Less Than Once A Month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few Times A Week,Categories,First Page,4,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,Never,Sometimes,4,Sometimes,4,2,All The Above,Nil,498142,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-06 19:08:47+05:30,28,Others,Once A Week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple Times A Day,Keyword,First Page,5,Yes,Sometimes,High shipping costs,Sometimes,No,Moderately,Sometimes,3,Yes,5,2,All The Above,Nothing,908063,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-12 15:27:59+05:30,47,Others,Few Times A Month,others,Sometimes,Rarely,Not Specified,Multiple Pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Sometimes,1,No,5,2,Competitive Prices,UI,759344,['others']
2023-06-07 17:58:12+05:30,8,Others,Once A Month,Clothing and Fashion;others,Sometimes,Few Times A Month,Categories,First Page,1,Yes,Never,Found a better price elsewhere,Never,No,Occasionally,Sometimes,1,No,1,3,User-Friendly Website/App Interface,Reducing packaging waste,123738,"['Clothing and Fashion', 'others']"
2023-06-07 10:57:14+05:30,43,Prefer Not To Say,Multiple Times A Week,Home and Kitchen,No,Rarely,Keyword,First Page,3,Yes,Rarely,High shipping costs,Always,No,Rarely,Sometimes,2,No,3,5,All The Above,Nil,885971,['Home and Kitchen']
2023-06-04 19:13:12+05:30,43,Male,Less Than Once A Month,others,Yes,Multiple Times A Day,Filter,Multiple Pages,4,No,Sometimes,Found a better price elsewhere,Always,No,Moderately,No,1,Yes,5,2,User-Friendly Website/App Interface,Customer service responsiveness,566930,['others']
2023-06-07 18:17:42+05:30,23,Male,Once A Month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few Times A Month,Others,Multiple Pages,2,Yes,Never,High shipping costs,Sometimes,Yes,Never,No,1,Sometimes,3,1,Wide Product Selection,Quality of product is very poor according to the big offers,776650,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-06 18:34:44+05:30,19,Female,Less Than Once A Month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Few Times A Week,Others,First Page,2,Yes,Always,Found a better price elsewhere,Sometimes,Yes,Heavily,No,2,No,3,2,All The Above,Nil,837776,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-05 11:20:41+05:30,40,Female,Once A Month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Rarely,Filter,First Page,2,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Yes,3,Yes,3,3,Quick Delivery,better app interface and lower shipping charges,269515,"['Groceries and Gourmet Food', 'Home and Kitchen', 'others']"
2023-06-05 21:56:02+05:30,9,Others,Once A Week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,Multiple Pages,3,No,Never,others,Rarely,Yes,Never,Sometimes,3,Yes,3,4,Not Specified,No problems with Amazon,705210,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-09 14:34:43+05:30,60,Others,Once A Week,Clothing and Fashion;others,Sometimes,Multiple Times A Day,Others,First Page,4,No,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,No,5,No,3,3,All The Above,Reducing packaging waste,996742,"['Clothing and Fashion', 'others']"
2023-06-07 16:46:12+05:30,18,Prefer Not To Say,Once A Week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few Times A Month,Filter,First Page,4,Yes,Never,Changed my mind or no longer need the item,Always,Yes,Moderately,Yes,4,Yes,5,5,Customer Service,Shipping speed and reliability,202745,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-05 09:56:58+05:30,5,Male,Once A Month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few Times A Week,Not Specified,Multiple Pages,3,Maybe,Always,High shipping costs,Rarely,Yes,Rarely,No,4,Yes,1,1,All The Above,Scrolling option would be much better than going to next page,956949,"['Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-06 19:19:43+05:30,29,Others,Less Than Once A Month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,Others,First Page,4,Maybe,Never,others,Often,Yes,Occasionally,No,4,Yes,4,4,Not Specified,User interface of app,876679,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'others']"
2023-06-11 23:20:57+05:30,46,Others,Few Times A Month,Groceries and Gourmet Food;Beauty and Personal Care,No,Rarely,Keyword,First Page,5,Maybe,Rarely,others,Often,Yes,Occasionally,Yes,3,Yes,3,2,Product Recommendations,better app interface and lower shipping charges,838932,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-06 19:46:27+05:30,58,Female,Once A Month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few Times A Month,Keyword,Multiple Pages,2,Maybe,Never,Found a better price elsewhere,Always,No,Rarely,No,4,Sometimes,1,5,Quick Delivery,I have no problem with Amazon yet. But others tell me about the refund issues,451480,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-06 18:39:26+05:30,56,Others,Less Than Once A Month,Beauty and Personal Care,Sometimes,Multiple Times A Day,Categories,First Page,3,Maybe,Often,Changed my mind or no longer need the item,Always,No,Rarely,Sometimes,2,No,1,1,Competitive Prices,Scrolling option would be much better than going to next page,168831,['Beauty and Personal Care']
2023-06-06 19:40:11+05:30,59,Female,Once A Month,others,Sometimes,Rarely,Filter,First Page,5,Yes,Rarely,Found a better price elsewhere,Always,Yes,Occasionally,Yes,1,Yes,3,3,Competitive Prices,Customer service responsiveness,637993,['others']
2023-06-04 19:13:12+05:30,37,Male,Few Times A Month,Clothing and Fashion;Home and Kitchen;others,Yes,Few Times A Week,Categories,Multiple Pages,2,No,Often,High shipping costs,Always,Yes,Occasionally,Yes,4,Yes,1,3,Competitive Prices,I have no problem with Amazon yet. But others tell me about the refund issues,150709,"['Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-08 17:33:12+05:30,28,Others,Once A Week,others,Sometimes,Few Times A Month,Filter,First Page,3,Maybe,Never,Found a better price elsewhere,Often,Yes,Never,Yes,1,Sometimes,2,1,Customer Service,Product quality and accuracy,928213,['others']
2023-06-06 18:37:19+05:30,8,Others,Few Times A Month,others,Yes,Multiple Times A Day,Not Specified,Multiple Pages,3,No,Always,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,4,Yes,1,1,Quick Delivery,I don't have any problem with Amazon,896965,['others']
2023-06-08 17:46:49+05:30,34,Others,Less Than Once A Month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few Times A Month,Keyword,Multiple Pages,5,Maybe,Rarely,others,Sometimes,Yes,Rarely,No,4,No,5,3,Wide Product Selection,I have no problem with Amazon yet. But others tell me about the refund issues,556409,"['Groceries and Gourmet Food', 'Home and Kitchen', 'others']"
2023-06-11 23:02:55+05:30,19,Others,Once A Week,Groceries and Gourmet Food,Sometimes,Few Times A Month,Filter,First Page,5,No,Always,Changed my mind or no longer need the item,Rarely,No,Rarely,Sometimes,3,No,2,3,Customer Service,better app interface and lower shipping charges,946186,['Groceries and Gourmet Food']
2023-06-07 16:46:12+05:30,30,Prefer Not To Say,Multiple Times A Week,Beauty and Personal Care;Home and Kitchen,No,Few Times A Month,Keyword,First Page,5,Yes,Never,others,Never,No,Occasionally,Yes,2,Sometimes,4,5,Quick Delivery,better app interface and lower shipping charges,683291,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-06 15:02:38+05:30,37,Male,Multiple Times A Week,Home and Kitchen,No,Few Times A Month,Filter,Multiple Pages,3,No,Never,Changed my mind or no longer need the item,Never,Yes,Never,Sometimes,4,Sometimes,1,3,Competitive Prices,User interface,364986,['Home and Kitchen']
2023-06-06 19:22:31+05:30,15,Male,Multiple Times A Week,Clothing and Fashion,Sometimes,Few Times A Week,Others,Multiple Pages,3,Yes,Rarely,Found a better price elsewhere,Always,Yes,Occasionally,Sometimes,3,Sometimes,3,4,User-Friendly Website/App Interface,User interface,785612,['Clothing and Fashion']
2023-06-07 09:32:38+05:30,64,Female,Multiple Times A Week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple Times A Day,Others,Multiple Pages,5,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Never,Sometimes,1,Yes,3,3,Customer Service,Not Specified,970525,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-07 12:50:13+05:30,58,Male,Once A Month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few Times A Month,Not Specified,First Page,4,Yes,Rarely,Changed my mind or no longer need the item,Always,Yes,Rarely,Sometimes,2,Sometimes,2,4,Product Recommendations,I have no problem with Amazon yet. But others tell me about the refund issues,272690,"['Groceries and Gourmet Food', 'Home and Kitchen']"
2023-06-11 23:22:19+05:30,50,Female,Multiple Times A Week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple Times A Day,Keyword,First Page,2,Yes,Rarely,Changed my mind or no longer need the item,Never,Yes,Never,Yes,1,Sometimes,4,5,Wide Product Selection,Not Specified,861433,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-08 17:16:17+05:30,5,Female,Multiple Times A Week,Clothing and Fashion;Home and Kitchen,No,Multiple Times A Day,Categories,First Page,5,No,Rarely,others,Rarely,No,Heavily,Sometimes,3,No,1,4,Wide Product Selection,Reducing packaging waste,253557,"['Clothing and Fashion', 'Home and Kitchen']"
2023-06-11 23:03:34+05:30,27,Male,Less Than Once A Month,others,No,Few Times A Week,Categories,Multiple Pages,3,Yes,Always,High shipping costs,Often,No,Never,No,1,Sometimes,1,1,All The Above,User interface of app,660454,['others']
2023-06-08 17:28:47+05:30,29,Female,Less Than Once A Month,Clothing and Fashion;others,Yes,Few Times A Month,Filter,First Page,1,Maybe,Always,Changed my mind or no longer need the item,Often,No,Never,Sometimes,1,No,5,5,Customer Service,Irrelevant product suggestions,276608,"['Clothing and Fashion', 'others']"
2023-06-11 23:22:55+05:30,46,Prefer Not To Say,Less Than Once A Month,others,Yes,Few Times A Week,Filter,Multiple Pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,Moderately,No,1,Sometimes,5,5,Not Specified,I have no problem with Amazon yet. But others tell me about the refund issues,683635,['others']
2023-06-11 22:49:05+05:30,52,Prefer Not To Say,Once A Week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few Times A Month,Not Specified,First Page,1,Maybe,Always,High shipping costs,Never,No,Occasionally,No,4,No,1,4,Customer Service,Scrolling option would be much better than going to next page,883728,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'others']"
2023-06-06 21:08:20+05:30,36,Female,Less Than Once A Month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Rarely,Categories,Multiple Pages,4,No,Never,Found a better price elsewhere,Sometimes,Yes,Moderately,Sometimes,2,Sometimes,2,2,Competitive Prices,Not Specified,991974,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'others']"
2023-06-07 22:10:26+05:30,64,Others,Once A Week,Beauty and Personal Care;Home and Kitchen,Yes,Multiple Times A Day,Not Specified,First Page,5,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,5,Sometimes,3,1,Quick Delivery,No problems with Amazon,250348,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-12 15:33:53+05:30,47,Female,Less Than Once A Month,Beauty and Personal Care,Yes,Multiple Times A Day,Others,Multiple Pages,5,Yes,Sometimes,others,Never,Yes,Moderately,No,2,Yes,1,4,Product Recommendations,Not Specified,373880,['Beauty and Personal Care']
2023-06-05 16:46:52+05:30,45,Prefer Not To Say,Less Than Once A Month,Beauty and Personal Care,Sometimes,Multiple Times A Day,Not Specified,Multiple Pages,4,No,Rarely,High shipping costs,Always,Yes,Moderately,No,3,Sometimes,4,4,All The Above,Add more familiar brands to the list,439765,['Beauty and Personal Care']
2023-06-12 15:45:27+05:30,18,Others,Once A Week,Groceries and Gourmet Food;Home and Kitchen,No,Rarely,Others,Multiple Pages,2,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,Yes,5,Sometimes,5,5,Quick Delivery,I have no problem with Amazon yet. But others tell me about the refund issues,890836,"['Groceries and Gourmet Food', 'Home and Kitchen']"
2023-06-07 23:03:50+05:30,6,Female,Less Than Once A Month,Beauty and Personal Care;Home and Kitchen;others,Yes,Rarely,Others,First Page,4,Yes,Sometimes,others,Sometimes,Yes,Rarely,Yes,5,Sometimes,3,1,Customer Service,Nothing,373037,"['Beauty and Personal Care', 'Home and Kitchen', 'others']"
2023-06-09 19:26:02+05:30,58,Prefer Not To Say,Once A Month,Groceries and Gourmet Food,No,Rarely,Not Specified,Multiple Pages,2,Yes,Always,Found a better price elsewhere,Sometimes,Yes,Rarely,No,5,No,3,3,Quick Delivery,Add more familiar brands to the list,515270,['Groceries and Gourmet Food']
